j,"Calcium, Ca","Carbohydrate, by difference",Energy,"Fiber, total dietary","Folate, DFE","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
Milk (fresh),123.0,4.63,61.0,0.0,0.0,0.0,12.0,0.105,101.0,150.0,3.27,0.138,0.056,32.0,0.54,0.061,0.0,0.05,0.3,0.42
Pulses,61.85,62.17125,0.0,0.0,0.0,7.158,106.7,0.0,373.6,948.9,23.56875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.863
Rice (husked),40.0,78.0,380.0,4.0,0.0,1.44,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ripe Bananas,5.0,22.7,97.0,1.7,15.0,0.0,28.0,0.653,22.0,326.0,0.74,0.0,0.054,1.0,0.0,0.212,12.0,0.1,0.1,0.16
Salt,24.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Soft drinks,1.0,10.4,42.0,0.0,0.0,0.02,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Sugar,83.0,98.1,380.0,0.0,1.0,0.71,9.0,0.11,4.0,133.0,0.12,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.03
Tea (dry),118.0,58.7,315.0,8.5,103.0,2.26,272.0,10.8,239.0,6040.0,20.2,0.985,0.0,0.0,0.0,0.356,0.0,0.0,0.0,1.69
Vegetables (fresh),28.0,5.88,29.0,2.4,0.0,0.0,0.0,0.0,0.0,188.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat Flour,0.0,70.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassava Fresh,16.0,38.06,667.0,1.8,27.0,0.27,21.0,0.854,27.0,271.0,1.36,0.048,0.087,1.0,0.0,0.088,20.6,0.19,1.9,0.34
Groundnuts,92.0,16.1,567.0,8.5,240.0,4.58,168.0,12.1,376.0,705.0,25.8,0.135,0.64,0.0,0.0,0.348,0.0,8.33,0.0,3.27
